Sample,X(ms) [09.01.2012 00:19:54 963 UTC],"Heater_Flow_In[%IW112]","Heater_Tin_In[%IW103]","Heater_Tout_In[%IW122]","Signals_DB.Heater_PWR"
3,1326068395863.832340,151,144,145,0
4,1326068396163.804400,150,144,145,0
5,1326068396463.856060,149,144,145,0
6,1326068396763.814760,149,144,145,0
7,1326068397063.830800,150,144,145,0
8,1326068397363.857840,152,144,145,0
9,1326068397663.863300,151,144,145,0
10,1326068397963.806860,151,144,145,0
11,1326068398263.870220,150,144,145,0
12,1326068398563.841360,151,144,145,0
13,1326068398863.822900,151,144,145,0
14,1326068399163.839640,150,144,145,0
15,1326068399463.848660,150,144,145,0
16,1326068399763.800540,150,144,145,0
17,1326068400063.881000,150,144,145,0
18,1326068400363.819100,150,144,145,0
19,1326068400663.826560,152,144,145,0
20,1326068400963.859280,151,144,145,0
21,1326068401263.827860,150,144,145,0
22,1326068401563.824100,150,144,145,0
23,1326068401863.835000,152,144,145,0
24,1326068402163.816920,151,144,145,0
25,1326068402463.835000,151,144,145,0
26,1326068402763.899480,151,144,145,0
27,1326068403063.839720,151,144,146,0
28,1326068403363.834980,152,144,146,0
29,1326068403663.806240,151,144,146,0
30,1326068403963.824560,151,144,146,0
31,1326068404263.830120,150,144,146,0
32,1326068404563.804100,151,144,145,0
33,1326068404863.837600,151,144,145,0
34,1326068405163.824240,151,144,145,0
35,1326068405463.850420,150,144,145,0
36,1326068405763.836580,149,144,145,0
37,1326068406063.843660,151,144,145,0
38,1326068406363.889020,151,144,145,0
39,1326068406663.849100,151,144,145,0
40,1326068406963.826440,150,144,145,0
41,1326068407263.844720,152,144,145,0
42,1326068407563.817080,152,144,145,0
43,1326068407863.799900,151,144,146,0
44,1326068408163.807060,151,144,146,0
45,1326068408463.813660,151,144,146,0
46,1326068408763.843080,153,144,146,0
47,1326068409063.835480,151,144,146,0
48,1326068409363.792560,138,144,146,0
49,1326068409663.804660,148,144,145,0
50,1326068409963.778240,155,144,145,0
51,1326068410263.825280,150,144,145,0
52,1326068410563.808700,148,144,145,0
53,1326068410863.848780,148,144,145,0
54,1326068411163.842500,148,144,145,0
55,1326068411463.818720,151,144,145,0
56,1326068411763.825140,151,144,145,0
57,1326068412063.814920,150,144,145,0
58,1326068412363.803500,148,144,146,0
59,1326068412663.804900,148,144,146,0
60,1326068412963.816120,150,145,146,0
61,1326068413263.810460,151,145,146,0
62,1326068413563.799660,150,145,146,0
63,1326068413863.814860,149,145,146,0
64,1326068414163.837060,150,145,146,0
65,1326068414463.843440,152,145,146,0
66,1326068414763.806220,154,145,146,0
67,1326068415063.824820,151,145,146,20
68,1326068415363.821200,142,145,146,20
69,1326068415663.807160,147,145,146,20
70,1326068415963.815600,153,145,146,20
71,1326068416263.813780,151,145,146,20
72,1326068416563.813260,148,145,146,20
73,1326068416863.852760,145,145,146,20
74,1326068417163.817620,145,145,146,20
75,1326068417463.819940,149,145,146,20
76,1326068417763.847860,150,145,146,20
77,1326068418063.803800,147,145,146,20
78,1326068418363.840020,144,145,146,20
79,1326068418663.834260,145,145,146,20
80,1326068418963.813320,148,145,146,20
81,1326068419263.868160,150,145,146,20
82,1326068419563.833960,149,145,146,20
83,1326068419863.854060,147,145,146,20
84,1326068420163.827420,149,145,146,20
