Sample,X(ms) [29.01.2012 22:32:46 963 UTC],"Heater_Flow_In[%IW112]","Heater_Tin_In[%IW103]","Heater_Tout_In[%IW122]","Signals_DB.Heater_PWR"
2,1327876367563.907280,276,136,310,40
3,1327876367863.863040,273,136,309,40
4,1327876368163.917040,267,136,308,40
5,1327876368463.879920,260,136,307,40
6,1327876368763.900620,253,136,306,40
7,1327876369063.890660,250,136,304,40
8,1327876369363.911120,245,136,304,40
9,1327876369663.896720,240,136,303,40
10,1327876369963.880700,236,136,303,40
11,1327876370263.908240,231,136,303,40
12,1327876370563.888740,226,136,303,40
13,1327876370863.945740,222,136,303,40
14,1327876371163.888600,220,136,303,40
15,1327876371463.885700,218,136,304,40
16,1327876371763.922640,215,136,304,40
17,1327876372063.959680,211,136,304,40
18,1327876372363.915820,209,136,304,40
19,1327876372663.918180,207,136,305,40
20,1327876372963.884880,205,136,305,40
21,1327876373263.898620,202,136,305,40
22,1327876373563.880380,199,136,305,40
23,1327876373863.888720,198,136,305,40
24,1327876374163.900300,199,136,305,40
25,1327876374463.899700,198,136,305,40
26,1327876374763.915280,193,136,305,40
27,1327876375063.896640,187,136,305,40
28,1327876375363.910140,185,136,306,40
29,1327876375663.894780,184,136,306,40
30,1327876375963.899940,182,136,307,40
31,1327876376263.907140,180,136,307,40
32,1327876376563.879860,180,136,307,40
33,1327876376863.917520,181,136,308,40
34,1327876377163.930860,181,136,308,40
35,1327876377463.921040,181,136,308,40
36,1327876377763.911260,180,136,309,40
37,1327876378063.917780,180,136,309,40
38,1327876378363.915880,179,136,309,40
39,1327876378663.909500,176,136,310,40
40,1327876378963.920960,177,136,310,40
41,1327876379263.926360,174,136,311,40
42,1327876379563.905240,171,136,311,40
43,1327876379863.981040,170,136,312,40
44,1327876380163.922720,172,136,312,40
45,1327876380463.950520,174,136,313,40
46,1327876380763.916060,173,136,313,40
47,1327876381063.939520,170,136,313,40
48,1327876381363.969600,168,136,314,40
49,1327876381663.952120,167,136,314,40
