Sample,X(ms) [09.01.2012 02:15:34 463 UTC],"Heater_Flow_In[%IW112]","Heater_Tin_In[%IW103]","Heater_Tout_In[%IW122]","Signals_DB.Heater_PWR"
2,1326075335063.930960,497,140,144,0
3,1326075335363.903960,495,140,144,0
4,1326075335663.892020,499,140,144,0
5,1326075335963.983100,508,140,144,0
6,1326075336263.903760,517,140,144,0
7,1326075336563.922160,512,140,144,0
8,1326075336863.920660,502,140,144,0
9,1326075337163.904440,494,140,144,0
10,1326075337463.898080,490,140,144,0
11,1326075337763.928500,492,140,144,0
12,1326075338063.896560,503,140,144,0
13,1326075338363.919480,514,140,143,0
14,1326075338663.898820,513,140,143,0
15,1326075338963.880460,499,140,143,0
16,1326075339263.915360,494,140,143,0
17,1326075339563.957540,492,140,143,0
18,1326075339863.929780,493,140,143,0
19,1326075340163.887680,502,140,143,0
20,1326075340463.920940,510,140,143,0
21,1326075340763.896700,513,140,143,0
22,1326075341063.876240,505,140,143,0
23,1326075341363.902840,494,140,143,0
24,1326075341663.901460,486,140,143,0
25,1326075341963.916540,491,140,143,0
26,1326075342263.948160,500,140,143,0
27,1326075342563.916440,508,140,143,0
28,1326075342863.922820,514,140,143,0
29,1326075343163.997820,507,140,144,0
30,1326075343463.934260,498,140,144,0
31,1326075343763.898080,491,140,144,0
32,1326075344063.897440,488,140,144,0
33,1326075344363.911380,492,140,144,20
34,1326075344663.907740,500,140,144,20
35,1326075344963.931400,514,140,144,20
36,1326075345263.885240,519,140,144,20
37,1326075345563.891800,507,140,144,20
38,1326075345863.985840,496,140,144,20
39,1326075346163.891800,490,140,144,20
40,1326075346463.880160,490,140,144,20
41,1326075346763.986460,497,140,144,20
42,1326075347063.891400,508,140,144,20
43,1326075347363.893560,516,140,144,20
44,1326075347663.933340,509,140,144,20
45,1326075347963.872620,500,140,144,20
46,1326075348263.893940,494,140,144,20
47,1326075348563.913780,491,140,144,20
48,1326075348863.906660,493,140,144,20
49,1326075349163.850380,502,140,144,20
50,1326075349463.904860,512,140,144,20
51,1326075349763.859460,512,140,143,20
52,1326075350063.847440,503,140,143,20
53,1326075350363.875860,496,140,143,20
54,1326075350663.849000,493,140,143,20
55,1326075350963.884520,492,140,143,20
56,1326075351263.903080,497,140,143,20
57,1326075351563.921820,507,140,143,20
58,1326075351863.866600,513,140,143,20
59,1326075352163.914140,506,140,143,20
60,1326075352463.879200,494,140,143,20
61,1326075352763.891220,491,140,143,20
62,1326075353063.881180,492,140,143,20
63,1326075353363.842740,497,140,143,20
64,1326075353663.869280,505,140,143,20
65,1326075353963.896920,512,140,143,20
66,1326075354263.940200,506,140,143,20
67,1326075354563.889580,499,140,144,20
68,1326075354863.902640,495,140,144,20
69,1326075355163.887840,492,140,144,20
70,1326075355463.876540,490,140,144,20
71,1326075355763.901500,492,140,144,20
72,1326075356063.942480,500,140,144,20
73,1326075356363.852740,508,140,144,20
74,1326075356663.889740,513,140,145,20
75,1326075356963.861600,504,140,145,20
76,1326075357263.858200,498,140,145,20
77,1326075357563.883900,493,140,146,20
78,1326075357863.862020,491,140,146,20
79,1326075358163.876600,493,140,146,20
80,1326075358463.890800,501,140,146,20
81,1326075358763.871300,511,140,147,20
82,1326075359063.842140,514,140,147,20
83,1326075359363.900940,505,140,147,20
84,1326075359663.877240,496,140,147,20
85,1326075359963.856960,491,140,147,20
86,1326075360263.895920,489,140,147,20
87,1326075360563.922580,494,140,148,20
