Sample,X(ms) [29.01.2012 22:04:46 863 UTC],"Heater_Flow_In[%IW112]","Heater_Tin_In[%IW103]","Heater_Tout_In[%IW122]","Signals_DB.Heater_PWR"
2,1327874687463.858160,265,135,139,0
3,1327874687763.859100,265,135,139,0
4,1327874688063.867720,264,135,139,0
5,1327874688363.858080,262,135,139,0
6,1327874688663.866640,260,135,139,0
7,1327874688963.926340,259,135,139,0
8,1327874689263.855220,257,135,139,0
9,1327874689563.891580,256,135,139,0
10,1327874689863.853060,255,135,139,0
11,1327874690163.858160,255,135,139,0
12,1327874690463.856820,255,135,139,0
13,1327874690763.882860,255,135,139,0
14,1327874691063.862620,255,135,139,0
15,1327874691363.881780,255,135,139,0
16,1327874691663.892040,255,135,139,0
17,1327874691963.845840,253,135,139,0
18,1327874692263.860660,252,135,139,0
19,1327874692563.847300,253,135,139,0
20,1327874692863.863080,253,135,139,0
21,1327874693163.877200,253,135,139,0
22,1327874693463.870160,252,135,139,0
23,1327874693763.833160,253,135,139,0
24,1327874694063.891460,250,135,139,0
25,1327874694363.840180,241,135,138,0
26,1327874694663.843060,251,135,138,0
27,1327874694963.886640,257,135,138,80
28,1327874695263.852260,255,135,138,80
29,1327874695563.834820,254,135,138,80
30,1327874695863.891860,251,135,138,80
31,1327874696163.842260,253,135,138,80
32,1327874696463.840660,256,135,138,80
33,1327874696763.869080,257,135,138,80
34,1327874697063.856100,256,135,138,80
35,1327874697363.849180,252,135,138,80
36,1327874697663.871860,252,135,138,80
37,1327874697963.855700,253,135,138,80
38,1327874698263.847560,254,135,138,80
39,1327874698563.891680,253,135,139,80
40,1327874698863.844580,253,135,139,80
41,1327874699163.932200,253,135,139,80
42,1327874699463.858000,254,135,138,80
43,1327874699763.842680,254,135,138,80
44,1327874700063.892220,254,135,138,80
45,1327874700363.810800,256,135,138,80
46,1327874700663.856960,255,135,138,80
47,1327874700963.831840,249,135,138,80
48,1327874701263.840040,251,136,138,80
49,1327874701563.818420,253,136,138,80
50,1327874701863.836060,251,136,138,80
51,1327874702163.874000,248,136,138,80
52,1327874702463.831900,247,136,138,80
53,1327874702763.818180,247,136,138,80
54,1327874703063.870780,248,136,138,80
55,1327874703363.826260,244,136,138,80
56,1327874703663.856500,242,136,138,80
57,1327874703963.842380,247,136,138,80
58,1327874704263.848920,248,136,138,80
59,1327874704563.847220,246,136,138,80
60,1327874704863.866000,246,136,138,80
61,1327874705163.824860,245,136,139,80
62,1327874705463.833820,245,136,139,80
63,1327874705763.848940,246,136,139,80
64,1327874706063.831640,246,136,139,80
65,1327874706363.833600,246,136,139,80
66,1327874706663.875240,245,136,139,80
67,1327874706963.855700,246,136,140,80
68,1327874707263.841500,247,136,140,80
69,1327874707563.842440,248,136,141,80
70,1327874707863.850640,240,136,141,80
71,1327874708163.873900,244,136,141,80
72,1327874708463.883700,254,136,142,80
73,1327874708763.828060,257,136,143,80
74,1327874709063.852680,257,136,144,80
75,1327874709363.845000,255,136,146,80
76,1327874709663.862880,253,136,147,80
77,1327874709963.833660,251,136,147,80
78,1327874710263.856520,250,136,148,80
79,1327874710563.909640,249,136,149,80
80,1327874710863.837480,254,136,150,80
81,1327874711163.918980,250,136,150,80
82,1327874711463.843120,245,136,152,80
83,1327874711763.850900,247,136,152,80
84,1327874712063.831900,251,136,154,80
85,1327874712363.855400,253,136,156,80
86,1327874712663.893300,252,136,158,80
87,1327874712963.870320,251,136,160,80
88,1327874713263.870540,256,136,161,80
89,1327874713563.862040,255,136,162,80
90,1327874713863.889600,250,136,162,80
91,1327874714163.861320,251,136,163,80
92,1327874714463.825120,251,136,164,80
93,1327874714763.865540,251,136,166,80
94,1327874715063.829880,251,136,168,80
95,1327874715363.820080,250,136,170,80
96,1327874715663.874120,249,136,172,80
97,1327874715963.850700,248,136,175,80
98,1327874716263.863780,248,136,178,80
99,1327874716563.855760,249,136,180,80
100,1327874716863.874320,249,136,183,80
101,1327874717163.860320,248,136,185,80
102,1327874717463.822680,247,136,187,80
103,1327874717763.857240,248,136,188,80
104,1327874718063.822360,249,136,189,80
105,1327874718363.860880,252,136,190,80
106,1327874718663.825080,259,136,192,80
107,1327874718963.835000,254,136,193,80
108,1327874719263.886000,247,136,195,80
109,1327874719563.815720,249,136,198,80
110,1327874719863.885420,253,136,204,80
111,1327874720163.877280,255,136,208,80
112,1327874720463.868940,260,136,213,80
113,1327874720763.855520,260,136,216,80
114,1327874721063.856940,248,136,218,80
115,1327874721363.884040,245,136,220,80
116,1327874721663.858200,251,136,222,80
117,1327874721963.864500,253,136,224,80
118,1327874722263.899220,254,136,225,80
119,1327874722563.836660,251,136,227,80
120,1327874722863.839820,250,136,229,80
121,1327874723163.851420,252,136,231,80
122,1327874723463.870520,253,136,232,80
123,1327874723763.875400,253,136,233,80
124,1327874724063.831640,251,136,235,80
125,1327874724363.849840,250,136,235,80
126,1327874724663.879060,250,136,236,80
127,1327874724963.853580,252,136,237,80
128,1327874725263.835040,253,136,238,80
129,1327874725563.859000,251,136,240,80
130,1327874725863.859940,250,136,242,80
131,1327874726163.835600,251,136,245,80
132,1327874726463.860920,252,136,248,80
133,1327874726763.902840,251,136,250,80
134,1327874727063.851900,251,136,253,80
135,1327874727363.882700,250,136,256,80
136,1327874727663.851560,250,136,258,80
137,1327874727964.180020,251,136,260,80
138,1327874728263.884340,251,136,263,80
139,1327874728563.842380,251,136,265,80
140,1327874728863.864780,251,136,267,80
141,1327874729163.908000,249,136,270,80
142,1327874729463.873360,246,136,273,80
143,1327874729763.827720,253,136,275,80
144,1327874730063.859260,256,136,277,80
145,1327874730363.888680,254,136,280,80
146,1327874730663.828120,252,136,282,80
147,1327874730963.847140,253,136,283,80
148,1327874731263.848400,255,136,284,80
149,1327874731563.833480,255,136,285,80
150,1327874731863.883940,254,136,285,80
151,1327874732163.853140,252,136,286,80
152,1327874732463.852580,253,136,288,80
153,1327874732763.858740,254,136,291,80
154,1327874733063.894680,254,136,296,80
155,1327874733363.861260,253,136,301,80
156,1327874733663.870620,253,136,305,80
157,1327874733963.843500,253,136,309,80
158,1327874734263.842220,253,136,311,80
159,1327874734563.870780,253,136,313,80
160,1327874734863.862620,247,136,315,80
161,1327874735163.856120,247,136,316,80
162,1327874735463.854200,254,136,318,80
163,1327874735763.845740,253,136,319,80
164,1327874736063.827580,251,136,322,80
165,1327874736363.844460,249,136,324,80
166,1327874736663.835960,249,136,327,80
167,1327874736963.866940,251,136,329,80
168,1327874737263.847760,252,136,332,80
169,1327874737563.880360,252,136,334,80
170,1327874737863.859220,251,136,336,80
171,1327874738163.894600,250,136,337,80
172,1327874738463.811160,251,136,338,80
173,1327874738763.884440,252,136,339,80
174,1327874739063.858280,251,136,339,80
175,1327874739363.843520,250,136,340,80
176,1327874739663.861680,249,136,342,80
177,1327874739963.840780,250,136,343,80
178,1327874740263.833320,252,136,343,80
179,1327874740563.838280,251,136,344,80
180,1327874740863.850140,250,136,345,80
181,1327874741163.855500,251,136,347,80
182,1327874741463.883980,250,136,348,80
183,1327874741763.857760,251,136,348,80
184,1327874742063.815940,251,136,348,80
185,1327874742363.832200,251,136,349,80
186,1327874742663.872140,250,136,351,80
187,1327874742963.825160,251,136,355,80
188,1327874743263.851820,252,136,359,80
189,1327874743563.873060,253,136,364,80
190,1327874743863.863560,253,136,367,80
191,1327874744163.877780,253,136,370,80
192,1327874744463.850940,253,136,373,80
193,1327874744763.853900,252,136,376,80
194,1327874745063.852500,252,136,378,80
195,1327874745363.903180,251,136,381,80
196,1327874745663.846580,250,136,384,80
197,1327874745963.840400,250,136,387,80
198,1327874746263.873680,250,136,390,80
199,1327874746563.838060,251,136,393,80
200,1327874746863.891400,251,136,395,80
201,1327874747163.876280,251,136,398,80
202,1327874747463.848760,251,136,401,80
203,1327874747763.854820,251,136,403,80
204,1327874748063.860040,251,136,405,80
205,1327874748363.898180,251,136,406,80
206,1327874748663.878080,252,136,408,80
207,1327874748963.843700,252,136,411,80
208,1327874749263.854140,253,136,412,80
209,1327874749563.880620,252,136,413,80
210,1327874749863.885400,250,136,414,80
211,1327874750163.849880,247,136,415,80
212,1327874750463.829000,245,136,416,80
213,1327874750763.887100,245,136,418,80
214,1327874751063.860520,244,136,420,80
215,1327874751363.853620,244,136,423,80
216,1327874751663.880980,244,136,427,80
217,1327874751963.853740,244,136,431,80
218,1327874752263.832840,244,136,435,80
219,1327874752563.936380,244,136,439,80
220,1327874752863.827280,244,136,441,80
221,1327874753163.902780,244,136,443,80
222,1327874753463.865200,245,136,444,80
223,1327874753763.873980,247,136,446,80
224,1327874754063.872280,247,136,449,80
225,1327874754363.875960,247,136,451,80
226,1327874754663.874660,247,136,453,80
227,1327874754963.854960,247,136,456,80
228,1327874755263.894440,246,136,458,80
229,1327874755563.861920,246,136,460,80
230,1327874755863.847640,245,136,462,80
231,1327874756163.888660,245,136,463,80
232,1327874756463.866700,245,136,464,80
233,1327874756763.842200,229,136,464,80
234,1327874757063.883120,241,136,465,80
235,1327874757363.876400,255,136,467,80
236,1327874757663.848880,257,136,468,80
237,1327874757963.877500,256,136,469,80
238,1327874758263.925020,254,136,470,80
239,1327874758563.861720,253,136,471,80
240,1327874758863.882320,254,136,472,80
241,1327874759163.882740,255,136,472,80
242,1327874759463.841880,253,136,474,80
243,1327874759763.863040,251,136,475,80
244,1327874760063.833140,250,136,476,80
245,1327874760363.883580,251,136,477,80
246,1327874760663.864360,254,136,478,80
247,1327874760963.917340,253,136,480,80
248,1327874761263.888100,250,136,483,80
249,1327874761563.865660,250,136,486,80
250,1327874761863.849000,251,136,489,80
251,1327874762163.841500,253,136,492,80
252,1327874762463.872700,252,136,494,80
253,1327874762763.842460,252,136,497,80
254,1327874763063.843760,252,136,499,80
255,1327874763363.825340,252,136,500,80
256,1327874763663.837420,252,136,501,80
257,1327874763963.824900,252,136,501,80
258,1327874764263.840280,252,136,502,80
259,1327874764563.838360,251,136,502,80
260,1327874764863.860100,252,136,504,80
261,1327874765163.883540,252,136,505,80
262,1327874765463.841200,251,136,507,80
263,1327874765763.829980,249,136,508,80
264,1327874766063.871660,248,136,510,80
265,1327874766363.821160,246,136,512,80
266,1327874766663.875800,246,136,514,80
267,1327874766963.822700,246,136,516,80
268,1327874767263.808520,245,136,518,80
269,1327874767563.838600,245,136,520,80
270,1327874767863.839680,245,136,522,80
271,1327874768163.860160,245,136,523,80
272,1327874768463.836660,245,136,525,80
