Sample,X(ms) [21.03.2012 03:10:24 063 UTC],"Signals_DB.Heater_Tout","Signals_DB.Heater_Tout_SP","Signals_DB.Heater_Flow_SP","Signals_DB.Heater_Flow","Signals_DB.Heater_PWR"
3,1332299424963.289760,20.7000007629395,20,7.97986888885498,7.8899998664856,40
4,1332299425263.272480,20.7000007629395,20,7.98984241485596,7.90000009536743,40
5,1332299425563.214540,20.7000007629395,20,7.99285745620728,7.90000009536743,40
6,1332299425863.270640,20.7000007629395,20,7.99733114242554,7.90999984741211,40
7,1332299426163.223140,20.7000007629395,20,7.9991979598999,7.92999982833862,40
8,1332299426463.236160,20.7000007629395,20,8.00264167785645,7.96000003814697,40
9,1332299426763.208500,20.7000007629395,20,8.00429058074951,7.98999977111816,40
10,1332299427063.244840,20.7000007629395,20,8.00754070281982,8.02000045776367,40
11,1332299427362.947580,20.7000007629395,20,8.0091495513916,8.02999973297119,40
12,1332299427663.268200,20.7000007629395,20,8.01236057281494,8.05000019073486,40
13,1332299427962.942960,20.7000007629395,20,8.01396179199219,8.06999969482422,40
14,1332299428263.277940,20.7000007629395,20,8.01716804504395,8.07999992370605,40
15,1332299428563.242860,20.6000003814697,20,8.01876926422119,8.07999992370605,40
16,1332299428863.256380,20.6000003814697,20,7.87618637084961,8.05000019073486,40
17,1332299429163.289640,20.6000003814697,20,7.92836046218872,7.96999979019165,40
18,1332299429463.307560,20.6000003814697,20,7.97687816619873,7.92000007629395,40
19,1332299429762.946260,20.6000003814697,20,7.98779821395874,7.90999984741211,40
20,1332299430063.280640,20.6000003814697,20,7.99914836883545,7.92999982833862,40
21,1332299430363.225960,20.6000003814697,20,8.00231456756592,7.98999977111816,40
22,1332299430663.251480,20.6000003814697,20,8.00667858123779,8.03999996185303,40
23,1332299430963.219220,20.6000003814697,20,8.00838756561279,8.03999996185303,40
24,1332299431263.234480,20.6000003814697,20,8.01143455505371,8.02999973297119,40
25,1332299431563.212480,20.5,20,7.89575052261353,8.03999996185303,40
26,1332299431863.219240,20.5,20,7.89517736434937,8.0600004196167,40
27,1332299432163.305420,20.5,20,7.9362850189209,8.07999992370605,40
28,1332299432463.261080,20.5,20,7.97457504272461,8.09000015258789,40
29,1332299432763.232900,20.5,20,7.98323154449463,8.09000015258789,40
30,1332299433063.264040,20.5,20,7.99228620529175,8.0600004196167,40
31,1332299433363.217540,20.5,20,7.99484348297119,8.02999973297119,40
32,1332299433663.218180,20.3999996185303,20,7.76415920257568,8.03999996185303,40
33,1332299433963.205520,20.3999996185303,20,7.85402631759644,8.03999996185303,40
34,1332299434263.268840,20.3999996185303,20,7.93600082397461,8.02000045776367,40
35,1332299434563.208840,20.3999996185303,20,7.9536337852478,7.98000001907349,40
36,1332299434863.308880,20.3999996185303,20,7.97052717208862,7.94999980926514,40
37,1332299435163.229040,20.3999996185303,20,7.97458744049072,7.92999982833862,40
38,1332299435463.234140,20.3999996185303,20,7.979248046875,7.92000007629395,40
39,1332299435763.243620,20.3999996185303,20,7.98075342178345,7.92000007629395,40
40,1332299436063.221080,20.3999996185303,20,7.98311805725098,7.92999982833862,40
41,1332299436362.953180,20.5,20,7.98413991928101,7.94999980926514,40
42,1332299436663.218780,20.5,20,8.13185405731201,7.92000007629395,40
43,1332299436962.911920,20.5,20,8.08222007751465,7.8600001335144,40
44,1332299437262.932080,20.5,20,8.0387544631958,7.8600001335144,40
45,1332299437562.946340,20.5,20,8.03035163879395,7.8899998664856,40
46,1332299437863.244980,20.5,20,8.0240421295166,7.90999984741211,40
47,1332299438162.944060,20.5,20,8.02338790893555,7.90000009536743,40
48,1332299438463.239420,20.6000003814697,20,8.21407794952393,7.92000007629395,40
49,1332299438762.892760,20.6000003814697,20,8.14536476135254,7.98999977111816,40
50,1332299439063.236820,20.6000003814697,20,8.08496856689453,8.09000015258789,40
51,1332299439362.929440,20.6000003814697,20,8.07317066192627,8.15999984741211,40
52,1332299439662.926940,20.6000003814697,20,8.06404685974121,8.18000030517578,40
53,1332299439962.906160,20.6000003814697,20,8.06294536590576,8.17000007629395,40
54,1332299440263.260840,20.6000003814697,20,8.06345653533936,8.1899995803833,40
55,1332299440562.911720,20.6000003814697,20,8.06436634063721,8.22999954223633,40
56,1332299440863.238900,20.6000003814697,20,8.06669139862061,8.22999954223633,40
57,1332299441162.927580,20.5,20,8.0679759979248,8.1899995803833,40
58,1332299441462.940700,20.5,20,7.92485666275024,8.14000034332275,40
59,1332299441763.268540,20.5,20,7.97678661346436,8.11999988555908,40
60,1332299442063.241820,20.5,20,8.02483081817627,8.06999969482422,40
61,1332299442362.926920,20.5,20,8.03551769256592,8.01000022888184,40
62,1332299442663.243900,20.3999996185303,20,7.85639190673828,7.96999979019165,40
63,1332299442962.951980,20.3999996185303,20,7.92884683609009,7.90999984741211,40
64,1332299443263.232640,20.5,20,8.18514156341553,7.8600001335144,40
65,1332299443562.916240,20.5,20,8.12999248504639,7.84999990463257,40
66,1332299443863.243380,20.5,20,8.08155345916748,7.90000009536743,40
67,1332299444162.933680,20.5,20,8.07211971282959,7.96000003814697,40
68,1332299444463.256280,20.5,20,8.06487274169922,8.01000022888184,40
69,1332299444763.236480,20.6000003814697,20,8.29826736450195,8.06999969482422,40
70,1332299445063.310560,20.6000003814697,20,8.15973091125488,8.17000007629395,40
71,1332299445362.939660,20.6000003814697,20,8.13162899017334,8.23999977111816,40
72,1332299445663.250220,20.6000003814697,20,8.10781860351563,8.27000045776367,40
73,1332299445962.944420,20.6000003814697,20,8.10365200042725,8.25,40
74,1332299446263.265920,20.6000003814697,20,8.10140705108643,8.1899995803833,40
75,1332299446563.247220,20.6000003814697,20,8.10173416137695,8.14000034332275,40
76,1332299446863.234100,20.6000003814697,20,8.10354518890381,8.10999965667725,40
77,1332299447163.221860,20.6000003814697,20,8.1047191619873,8.07999992370605,40
78,1332299447463.352560,20.6000003814697,20,8.10729026794434,8.03999996185303,40
