Sample,X(ms) [18.02.2012 23:38:39 662 UTC],"Signals_DB.Heater_Tout","Signals_DB.Heater_Tout_SP","Signals_DB.Heater_Flow_SP","Signals_DB.Heater_Flow","Signals_DB.Heater_PWR"
3,1329608320563.032140,20.1000003814697,20,8.13642501831055,8.26000022888184,40
4,1329608320862.997280,20.1000003814697,20,8.17346382141113,8.23999977111816,40
5,1329608321163.346300,20.1000003814697,20,8.1892557144165,8.22999954223633,40
6,1329608321463.002520,20.1000003814697,20,8.1961030960083,8.22000026702881,40
7,1329608321763.026080,20.1000003814697,20,8.19918632507324,8.21000003814697,40
8,1329608322063.302420,20.1000003814697,20,8.20068550109863,8.17000007629395,40
9,1329608322363.024960,20.1000003814697,20,8.20151233673096,8.10000038146973,40
10,1329608322663.300100,20.1000003814697,20,8.20205879211426,8.09000015258789,40
11,1329608322963.333140,20.1000003814697,20,8.20249176025391,8.10999965667725,40
12,1329608323263.298000,20.1000003814697,20,8.20287036895752,8.10999965667725,40
13,1329608323563.000320,20.1000003814697,20,8.20322799682617,8.09000015258789,40
14,1329608323862.994180,20.1000003814697,20,8.20357418060303,8.09000015258789,40
15,1329608324163.368880,20.1000003814697,20,8.2039213180542,8.10999965667725,40
16,1329608324463.024960,20.1000003814697,20,8.20426750183105,8.14000034332275,40
17,1329608324763.336520,20.1000003814697,20,8.20461082458496,8.14999961853027,40
18,1329608325063.003380,20.1000003814697,20,8.20495414733887,8.14999961853027,40
19,1329608325362.973300,20,20,8.13385581970215,8.13000011444092,40
20,1329608325663.000500,20,20,8.02739524841309,8.14000034332275,40
21,1329608325963.015960,20,20,8.11503601074219,8.23999977111816,40
22,1329608326262.988460,20.1000003814697,20,8.15194129943848,8.4399995803833,40
23,1329608326562.966120,20.1000003814697,20,8.38180732727051,8.55000019073486,40
24,1329608326862.987000,20.1000003814697,20,8.2800989151001,8.52000045776367,40
25,1329608327162.995120,20.1000003814697,20,8.23746871948242,8.42000007629395,40
26,1329608327462.958640,20.1000003814697,20,8.2197151184082,8.32999992370605,40
27,1329608327763.016360,20.1000003814697,20,8.21244049072266,8.31999969482422,40
28,1329608328062.988420,20.1000003814697,20,8.20957469940186,8.35000038146973,40
29,1329608328363.011620,20.1000003814697,20,8.20856857299805,8.36999988555908,40
30,1329608328662.977540,20,20,8.13690185546875,8.30000019073486,40
31,1329608328962.986940,20,20,8.03020191192627,8.22000026702881,40
