Sample,X(ms) [19.02.2012 01:47:57 362 UTC],"Signals_DB.Heater_Tout","Signals_DB.Heater_Tout_SP","Signals_DB.Heater_Flow_SP","Signals_DB.Heater_Flow","Signals_DB.Heater_PWR"
3,1329616078262.966400,38,20,8.65610980987549,4.3600001335144,40
4,1329616078562.979980,37.9000015258789,20,8.64917087554932,4.51999998092651,40
5,1329616078862.961500,37.7999992370605,20,8.66631317138672,4.73000001907349,40
6,1329616079162.990240,37.7000007629395,20,8.7648344039917,4.84999990463257,40
7,1329616079462.945280,37.7000007629395,20,8.83125591278076,4.73000001907349,40
8,1329616079762.960380,37.5999984741211,20,8.95547485351563,4.55999994277954,40
9,1329616080062.970200,37.5,20,8.89484596252441,4.48000001907349,40
10,1329616080363.347920,37.5,20,8.96008777618408,4.55999994277954,40
11,1329616080663.305440,37.5,20,9.08341884613037,4.73999977111816,40
12,1329616080962.967060,37.4000015258789,20,9.23634433746338,4.94999980926514,40
13,1329616081262.948480,37.4000015258789,20,9.12117099761963,5.1399998664856,40
14,1329616081562.974040,37.4000015258789,20,9.30593204498291,5.09999990463257,40
15,1329616081862.968020,37.2999992370605,20,9.41829872131348,4.92000007629395,40
16,1329616082163.267500,37.2999992370605,20,9.2858419418335,4.78000020980835,40
17,1329616082462.955600,37.2000007629395,20,9.39168643951416,4.75,40
18,1329616082762.997760,37.0999984741211,20,9.39390754699707,4.84000015258789,40
19,1329616083062.979840,37.0999984741211,20,9.41859245300293,5.01999998092651,40
20,1329616083362.998760,37,20,9.45259284973145,5.21999979019165,40
21,1329616083662.991280,36.9000015258789,20,9.49039459228516,5.30000019073486,40
22,1329616083962.988500,36.7999992370605,20,9.5296630859375,5.15999984741211,40
23,1329616084263.248600,36.7000007629395,20,9.42652034759521,4.96999979019165,40
24,1329616084563.291060,36.5999984741211,20,9.46707916259766,4.82999992370605,40
25,1329616084862.987920,36.5,20,9.57314205169678,4.78999996185303,40
26,1329616085162.985760,36.4000015258789,20,9.49752807617188,4.90999984741211,40
27,1329616085462.999380,36.2999992370605,20,9.54907989501953,5.17000007629395,40
28,1329616085763.000420,36.2000007629395,20,9.5162878036499,5.3899998664856,40
29,1329616086063.257420,36.0999984741211,20,9.65684223175049,5.36999988555908,40
30,1329616086363.239080,36,20,9.59489822387695,5.1399998664856,40
31,1329616086663.257780,35.7999992370605,20,9.65134620666504,4.92999982833862,40
32,1329616086963.234940,35.7000007629395,20,9.61975002288818,4.82999992370605,40
33,1329616087262.985020,35.7000007629395,20,9.68850708007813,4.96000003814697,40
34,1329616087563.248120,35.5999984741211,20,9.87596797943115,5.19999980926514,40
35,1329616087862.993820,35.5,20,9.83799648284912,5.46999979019165,40
36,1329616088163.240860,35.4000015258789,20,9.83737087249756,5.63000011444092,40
37,1329616088463.256460,35.2999992370605,20,9.85226631164551,5.46000003814697,40
38,1329616088762.988620,35.2999992370605,20,9.87349605560303,5.15000009536743,40
39,1329616089062.990180,35.2999992370605,20,10.111533164978,4.92000007629395,40
40,1329616089362.981360,35.2000007629395,20,10.2421550750732,4.98999977111816,40
41,1329616089662.986160,35.0999984741211,20,10.0417795181274,5.46999979019165,40
42,1329616089962.987240,35,20,10.1095771789551,5.92999982833862,40
43,1329616090263.000340,34.7999992370605,20,10.0148220062256,5.94999980926514,40
44,1329616090563.324600,34.5999984741211,20,9.91236114501953,5.51000022888184,40
45,1329616090862.983480,34.4000015258789,20,9.87257957458496,5,40
46,1329616091163.278480,34.2999992370605,20,9.78739452362061,4.69000005722046,40
