Sample,X(ms) [10.12.2014 20:45:53 732 UTC],"Heater_Flow_In[%IW112]","Heater_Tin_In[%IW103]","Heater_Tout_In[%IW122]","Signals_DB.Heater_PWR"
327720,1418244726516.534933,46,157,435,40
327721,1418244726517.694933,46,157,435,40
327722,1418244726518.914933,46,157,435,40
327723,1418244726520.050933,46,157,435,40
327724,1418244726520.979933,46,157,435,40
327725,1418244726522.084933,46,157,435,40
327726,1418244726523.379933,46,157,435,40
327727,1418244726524.548933,46,157,435,40
327728,1418244726525.712933,46,157,435,40
327729,1418244726526.635933,46,157,435,40
327730,1418244726527.663933,46,157,435,40
327731,1418244726528.694933,46,157,435,40
327732,1418244726529.855933,46,157,435,40
327733,1418244726530.793933,46,157,435,40
327734,1418244726531.854933,46,157,435,40
327735,1418244726532.898933,46,157,435,40
327736,1418244726533.990933,46,157,435,40
327737,1418244726534.963933,46,157,435,40
327738,1418244726536.096933,46,157,435,40
327739,1418244726537.132933,46,157,435,40
327740,1418244726538.176933,46,157,435,40
327741,1418244726539.334933,46,157,435,40
327742,1418244726540.267933,46,157,435,40
327743,1418244726541.332933,46,157,435,40
327744,1418244726542.333933,46,157,435,40
327745,1418244726543.367933,46,157,435,40
327746,1418244726544.415933,46,157,435,40
327747,1418244726545.484933,46,157,435,40
327748,1418244726546.531933,46,157,435,40
327749,1418244726547.606933,46,157,435,40
327750,1418244726548.796933,46,157,435,40
327751,1418244726549.779933,46,157,435,40
327752,1418244726550.711933,46,157,435,40
327753,1418244726551.727933,46,157,435,40
327754,1418244726552.777933,46,157,435,40
327755,1418244726553.864933,46,157,435,40
327756,1418244726554.900933,46,157,435,40
327757,1418244726555.972933,46,157,435,40
327758,1418244726556.942933,46,157,435,40
327759,1418244726558.015933,46,157,435,40
327760,1418244726559.200933,46,157,435,40
327761,1418244726560.090933,46,157,435,40
327762,1418244726561.135933,46,157,435,40
327763,1418244726562.168933,46,157,435,40
327764,1418244726563.208933,46,157,435,40
327765,1418244726564.257933,46,157,435,40
327766,1418244726565.390933,46,157,435,40
327767,1418244726566.340933,46,157,435,40
327768,1418244726567.392933,46,157,435,40
327769,1418244726568.432933,46,157,435,40
327770,1418244726569.541933,46,157,435,40
327771,1418244726570.569933,46,157,435,40
327772,1418244726571.627933,46,157,435,40
327773,1418244726572.657933,46,157,435,40
327774,1418244726573.757933,46,157,435,40
327775,1418244726574.728933,46,157,435,40
327776,1418244726575.824933,46,157,435,40
327777,1418244726576.823933,46,157,435,40
327778,1418244726577.907933,46,157,435,40
327779,1418244726579.064933,46,157,435,40
327780,1418244726580.029933,46,157,435,40
327781,1418244726581.046933,46,157,435,40
327782,1418244726582.111933,46,157,435,40
327783,1418244726583.164933,46,157,435,40
327784,1418244726584.201933,46,157,435,40
327785,1418244726585.388933,46,157,435,40
327786,1418244726586.298933,46,157,435,40
327787,1418244726587.333933,46,157,435,40
327788,1418244726588.387933,46,157,435,40
327789,1418244726589.542933,46,157,435,40
327790,1418244726590.565933,46,157,435,40
327791,1418244726591.596933,46,157,435,40
327792,1418244726592.662933,46,157,435,40
327793,1418244726593.735933,46,157,435,40
327794,1418244726594.714933,46,157,435,40
327795,1418244726595.760933,46,157,435,40
327796,1418244726596.789933,46,157,435,40
327797,1418244726597.915933,46,157,435,40
327798,1418244726598.944933,46,157,435,40
327799,1418244726599.975933,46,157,435,40
327800,1418244726600.980933,46,157,435,40
327801,1418244726602.075933,46,157,435,40
327802,1418244726603.059933,46,157,435,40
327803,1418244726604.126933,46,157,435,40
327804,1418244726605.268933,46,157,435,40
327805,1418244726606.227933,46,157,435,40
327806,1418244726607.250933,46,157,435,40
327807,1418244726608.290933,46,157,435,40
327808,1418244726609.421933,46,157,435,40
327809,1418244726610.395933,46,157,435,40
327810,1418244726611.404933,46,157,435,40
327811,1418244726612.460933,46,157,435,40
327812,1418244726613.535933,46,157,435,40
327813,1418244726614.601933,46,157,435,40
327814,1418244726615.640933,46,157,435,40
327815,1418244726616.696933,46,157,435,40
327816,1418244726617.752933,46,157,435,40
327817,1418244726618.751933,46,157,435,40
327818,1418244726619.805933,46,157,435,40
327819,1418244726620.822933,46,157,435,40
327820,1418244726621.962933,46,157,435,40
327821,1418244726623.082933,46,157,435,40
327822,1418244726624.619933,46,157,435,40
