Sample,X(ms) [11.12.2014 00:10:11 568 UTC],"Heater_Flow_In[%IW112]","Heater_Tin_In[%IW103]","Heater_Tout_In[%IW122]","Signals_DB.Heater_PWR"
207503,1418256842826.009759,104,163,808,40
207504,1418256842827.010759,104,163,808,40
207505,1418256842828.066759,104,163,808,40
207506,1418256842829.167759,104,163,808,40
207507,1418256842830.172759,104,163,808,40
207508,1418256842831.172759,104,163,808,40
207509,1418256842832.227759,104,163,808,40
207510,1418256842833.291759,104,163,808,40
207511,1418256842834.319759,104,163,808,40
207512,1418256842835.393759,104,163,808,40
207513,1418256842836.403759,104,163,808,40
207514,1418256842837.481759,104,163,808,40
207515,1418256842838.540759,104,163,808,40
207516,1418256842839.640759,104,163,808,40
207517,1418256842840.625759,104,163,808,40
207518,1418256842841.674759,104,163,808,40
207519,1418256842842.976759,104,163,808,40
207520,1418256842844.406759,104,163,808,40
207521,1418256842845.434759,104,163,808,40
207522,1418256842846.479759,104,163,808,40
207523,1418256842847.525759,104,163,808,40
207524,1418256842848.583759,104,163,808,40
207525,1418256842849.653759,104,163,808,40
207526,1418256842850.678759,104,163,808,40
207527,1418256842851.712759,104,163,808,40
207528,1418256842852.773759,104,163,808,40
207529,1418256842853.874759,104,163,808,40
207530,1418256842854.988759,104,163,808,40
207531,1418256842855.929759,104,163,808,40
207532,1418256842856.964759,104,163,808,40
207533,1418256842858.044759,104,163,808,40
207534,1418256842859.251759,104,163,808,40
207535,1418256842860.126759,104,163,808,40
207536,1418256842861.119759,104,163,808,40
207537,1418256842862.222759,104,163,808,40
207538,1418256842863.200759,104,163,808,40
207539,1418256842864.240759,104,163,808,40
207540,1418256842865.315759,104,163,808,40
207541,1418256842866.354759,104,163,808,40
207542,1418256842867.356759,104,163,808,40
207543,1418256842868.393759,104,163,808,40
207544,1418256842869.463759,104,163,808,40
207545,1418256842870.520759,104,163,808,40
207546,1418256842871.561759,104,163,808,40
207547,1418256842872.606759,104,163,808,40
207548,1418256842873.628759,104,163,808,40
207549,1418256842874.651759,104,163,808,40
207550,1418256842875.728759,104,163,808,40
207551,1418256842876.777759,104,163,808,40
207552,1418256842877.865759,104,163,808,40
207553,1418256842878.946759,104,163,808,40
207554,1418256842879.909759,104,163,808,40
207555,1418256842880.921759,104,163,808,40
207556,1418256842882.014759,104,163,808,40
207557,1418256842883.029759,104,163,808,40
207558,1418256842884.068759,104,163,808,40
207559,1418256842885.175759,104,163,808,40
207560,1418256842886.206759,104,163,808,40
207561,1418256842887.186759,104,163,808,40
207562,1418256842888.380759,104,163,808,40
207563,1418256842889.298759,104,163,808,40
207564,1418256842890.316759,104,163,808,40
